"Part Number","Tariff Code","Hazard/Dangerous Code","Dealer Net Price","Flat Fee","Large Tracks Charge","Regular Tracks Charge","Tires ATV Large Charge","Tires ATV Small Charge","Tires MC Charge","Wheels ATV Charge","Wheels MC Charge"
0214-2139,,None,N,Y,N,N,N,N,N,N,N
0214-2140,,None,N,Y,N,N,N,N,N,N,N
0214-2141,8714.10.00.00,None,N,Y,N,N,N,N,N,N,N
0214-2142,8714.10.00.00,None,N,Y,N,N,N,N,N,N,N
0214-2151,8714.10.00.00,None,N,Y,N,N,N,N,N,N,N
0214-2152,8714.10.00.00,None,N,Y,N,N,N,N,N,N,N
0214-2153,8714.10.00.00,None,N,Y,N,N,N,N,N,N,N
0214-2154,8714.10.00.00,None,N,Y,N,N,N,N,N,N,N
0214-2157,8714.10.00.00,None,N,Y,N,N,N,N,N,N,N
0214-2158,8714.10.00.00,None,N,Y,N,N,N,N,N,N,N
0214-2163,,None,N,Y,N,N,N,N,N,N,N
0214-2164,,None,N,Y,N,N,N,N,N,N,N
0214-2180,8708.50.39.00,None,N,Y,N,N,N,N,N,N,N
0214-2181,,None,N,Y,N,N,N,N,N,N,N
0214-2182,,None,N,Y,N,N,N,N,N,N,N
0214-2183,8708.50.39.00,None,N,Y,N,N,N,N,N,N,N
0214-2184,8708.50.39.00,None,N,Y,N,N,N,N,N,N,N
0214-2185,8708.50.39.00,None,N,Y,N,N,N,N,N,N,N
0214-2186,8708.50.39.00,None,N,Y,N,N,N,N,N,N,N
0214-2188,8708.50.39.00,None,N,Y,N,N,N,N,N,N,N
0214-2189,8708.50.39.00,None,N,Y,N,N,N,N,N,N,N
0214-2190,,None,N,Y,N,N,N,N,N,N,N
0214-2191,,None,N,Y,N,N,N,N,N,N,N
0214-2192,8708.50.39.00,None,N,Y,N,N,N,N,N,N,N
0214-2193,8708.50.39.00,None,N,Y,N,N,N,N,N,N,N
0214-2194,8708.50.39.00,None,N,Y,N,N,N,N,N,N,N
0214-2195,,None,N,Y,N,N,N,N,N,N,N
0214-2196,8708.50.39.00,None,N,Y,N,N,N,N,N,N,N
0214-2197,8708.50.39.00,None,N,Y,N,N,N,N,N,N,N
0214-2198,8708.50.39.00,None,N,Y,N,N,N,N,N,N,N
0214-2199,,None,N,Y,N,N,N,N,N,N,N
0214-2201,8708.50.39.00,None,N,Y,N,N,N,N,N,N,N
0214-2202,8714.10.00.00,None,N,Y,N,N,N,N,N,N,N
0214-2203,8714.10.00.00,None,N,Y,N,N,N,N,N,N,N
0214-2209,,None,N,Y,N,N,N,N,N,N,N
0214-2210,8708.50.39.00,None,N,Y,N,N,N,N,N,N,N
0214-2211,,None,N,Y,N,N,N,N,N,N,N
0214-2212,8708.50.39.00,None,N,Y,N,N,N,N,N,N,N
0214-2213,,None,N,Y,N,N,N,N,N,N,N
0214-2214,,None,N,Y,N,N,N,N,N,N,N
0214-2215,,None,N,Y,N,N,N,N,N,N,N
0214-2216,,None,N,Y,N,N,N,N,N,N,N
0214-2217,,None,N,Y,N,N,N,N,N,N,N
0214-2218,,None,N,Y,N,N,N,N,N,N,N
0214-2219,,None,N,Y,N,N,N,N,N,N,N
0214-2220,,None,N,Y,N,N,N,N,N,N,N
0214-2221,,None,N,Y,N,N,N,N,N,N,N
0214-2222,,None,N,Y,N,N,N,N,N,N,N
0214-2223,,None,N,Y,N,N,N,N,N,N,N
0214-2224,,None,N,Y,N,N,N,N,N,N,N
0214-2225,,None,N,Y,N,N,N,N,N,N,N
0214-2226,,None,N,Y,N,N,N,N,N,N,N
0214-2227,,None,N,Y,N,N,N,N,N,N,N
0214-2228,,None,N,Y,N,N,N,N,N,N,N
0214-2229,,None,N,Y,N,N,N,N,N,N,N
0214-2230,,None,N,Y,N,N,N,N,N,N,N
0214-2231,,None,N,Y,N,N,N,N,N,N,N
0214-2232,,None,N,Y,N,N,N,N,N,N,N
0214-2233,,None,N,Y,N,N,N,N,N,N,N
0214-2234,,None,N,Y,N,N,N,N,N,N,N
0214-2235,,None,N,Y,N,N,N,N,N,N,N
0214-2236,,None,N,Y,N,N,N,N,N,N,N
0214-2237,,None,N,Y,N,N,N,N,N,N,N
0214-2238,,None,N,Y,N,N,N,N,N,N,N
0214-2239,,None,N,Y,N,N,N,N,N,N,N
0214-2240,,None,N,Y,N,N,N,N,N,N,N
0214-2241,,None,N,Y,N,N,N,N,N,N,N
0214-2242,,None,N,Y,N,N,N,N,N,N,N
0214-2243,,None,N,Y,N,N,N,N,N,N,N
0214-2244,,None,N,Y,N,N,N,N,N,N,N
0214-2245,,None,N,Y,N,N,N,N,N,N,N
0214-2246,,None,N,Y,N,N,N,N,N,N,N
0214-2247,,None,N,Y,N,N,N,N,N,N,N
0214-2248,,None,N,Y,N,N,N,N,N,N,N
0214-2249,,None,N,Y,N,N,N,N,N,N,N
0214-2250,,None,N,Y,N,N,N,N,N,N,N
0214-2251,,None,N,Y,N,N,N,N,N,N,N
0214-2252,,None,N,Y,N,N,N,N,N,N,N
0214-2253,,None,N,Y,N,N,N,N,N,N,N
0214-2254,,None,N,Y,N,N,N,N,N,N,N
0214-2255,,None,N,Y,N,N,N,N,N,N,N
0214-2256,,None,N,Y,N,N,N,N,N,N,N
0214-2257,,None,N,Y,N,N,N,N,N,N,N
0214-2258,,None,N,Y,N,N,N,N,N,N,N
0214-2259,,None,N,Y,N,N,N,N,N,N,N
0214-2260,,None,N,Y,N,N,N,N,N,N,N
0214-2261,,None,N,Y,N,N,N,N,N,N,N
0214-2262,,None,N,Y,N,N,N,N,N,N,N
0214-2263,,None,N,Y,N,N,N,N,N,N,N
0214-2264,,None,N,Y,N,N,N,N,N,N,N
0214-2265,,None,N,Y,N,N,N,N,N,N,N
0214-2266,,None,N,Y,N,N,N,N,N,N,N
0214-2267,,None,N,Y,N,N,N,N,N,N,N
0214-2269,,None,N,Y,N,N,N,N,N,N,N
0214-2270,,None,N,Y,N,N,N,N,N,N,N
0214-2271,,None,N,Y,N,N,N,N,N,N,N
0214-2272,,None,N,Y,N,N,N,N,N,N,N
0214-2273,,None,N,Y,N,N,N,N,N,N,N
0214-2275,,None,N,Y,N,N,N,N,N,N,N
0214-2276,,None,N,Y,N,N,N,N,N,N,N
0214-2277,,None,N,Y,N,N,N,N,N,N,N
0214-2278,,None,N,Y,N,N,N,N,N,N,N
0214-2279,,None,N,Y,N,N,N,N,N,N,N
0214-2280,,None,N,Y,N,N,N,N,N,N,N
0214-2281,,None,N,Y,N,N,N,N,N,N,N
0214-2282,,None,N,Y,N,N,N,N,N,N,N
0214-2283,,None,N,Y,N,N,N,N,N,N,N
0214-2284,,None,N,Y,N,N,N,N,N,N,N
0214-2285,,None,N,Y,N,N,N,N,N,N,N
0214-2286,,None,N,Y,N,N,N,N,N,N,N
0214-2287,,None,N,Y,N,N,N,N,N,N,N
0214-2290,,None,N,Y,N,N,N,N,N,N,N
0214-2291,,None,N,Y,N,N,N,N,N,N,N
0214-2292,,None,N,Y,N,N,N,N,N,N,N
0214-2295,,None,N,Y,N,N,N,N,N,N,N
0214-2296,,None,N,Y,N,N,N,N,N,N,N
0214-2297,,None,N,Y,N,N,N,N,N,N,N
0214-2298,,None,N,Y,N,N,N,N,N,N,N
0214-2299,,None,N,Y,N,N,N,N,N,N,N
0214-2300,,None,N,Y,N,N,N,N,N,N,N
0214-2301,,None,N,Y,N,N,N,N,N,N,N
0214-2302,,None,N,Y,N,N,N,N,N,N,N
0214-2303,,None,N,Y,N,N,N,N,N,N,N
0214-2304,,None,N,Y,N,N,N,N,N,N,N
0214-2305,,None,N,Y,N,N,N,N,N,N,N
0214-2306,,None,N,Y,N,N,N,N,N,N,N
0214-2307,,None,N,Y,N,N,N,N,N,N,N
0214-2308,,None,N,Y,N,N,N,N,N,N,N
0214-2309,,None,N,Y,N,N,N,N,N,N,N
0214-2310,,None,N,Y,N,N,N,N,N,N,N
0214-2311,,None,N,Y,N,N,N,N,N,N,N
0214-2312,,None,N,Y,N,N,N,N,N,N,N
0214-2313,,None,N,Y,N,N,N,N,N,N,N
0214-2314,,None,N,Y,N,N,N,N,N,N,N
0214-2315,,None,N,Y,N,N,N,N,N,N,N
0214-2316,,None,N,Y,N,N,N,N,N,N,N
0214-2317,,None,N,Y,N,N,N,N,N,N,N
0214-2318,,None,N,Y,N,N,N,N,N,N,N
0214-2319,,None,N,Y,N,N,N,N,N,N,N
0214-2320,,None,N,Y,N,N,N,N,N,N,N
0214-2321,,None,N,Y,N,N,N,N,N,N,N
0214-2322,,None,N,Y,N,N,N,N,N,N,N
0214-2323,,None,N,Y,N,N,N,N,N,N,N
0214-2324,,None,N,Y,N,N,N,N,N,N,N
0214-2325,,None,N,Y,N,N,N,N,N,N,N
0214-2326,,None,N,Y,N,N,N,N,N,N,N
0214-2328,,None,N,Y,N,N,N,N,N,N,N
0214-2330,,None,N,Y,N,N,N,N,N,N,N
0214-2331,,None,N,Y,N,N,N,N,N,N,N
0214-2332,,None,N,Y,N,N,N,N,N,N,N
0214-2333,,None,N,Y,N,N,N,N,N,N,N
0214-2334,,None,N,Y,N,N,N,N,N,N,N
0214-2335,,None,N,Y,N,N,N,N,N,N,N
0214-2336,,None,N,Y,N,N,N,N,N,N,N
0214-2337,,None,N,Y,N,N,N,N,N,N,N
0214-2338,,None,N,Y,N,N,N,N,N,N,N
0214-2339,,None,N,Y,N,N,N,N,N,N,N
0214-2340,,None,N,Y,N,N,N,N,N,N,N
0214-2341,,None,N,Y,N,N,N,N,N,N,N
0214-2342,,None,N,Y,N,N,N,N,N,N,N
0214-2343,,None,N,Y,N,N,N,N,N,N,N
0214-2344,,None,N,Y,N,N,N,N,N,N,N
0214-2345,,None,N,Y,N,N,N,N,N,N,N
0214-2346,,None,N,Y,N,N,N,N,N,N,N
0214-2347,,None,N,Y,N,N,N,N,N,N,N
0214-2348,,None,N,Y,N,N,N,N,N,N,N
0214-2350,,None,N,Y,N,N,N,N,N,N,N
0214-2351,,None,N,Y,N,N,N,N,N,N,N
0214-2352,,None,N,Y,N,N,N,N,N,N,N
0214-2353,,None,N,Y,N,N,N,N,N,N,N
0214-2360,,None,N,Y,N,N,N,N,N,N,N
0214-2371,,None,N,Y,N,N,N,N,N,N,N
0214-2372,,None,N,Y,N,N,N,N,N,N,N
0214-2373,,None,N,Y,N,N,N,N,N,N,N
0214-2374,,None,N,Y,N,N,N,N,N,N,N
0214-2375,,None,N,Y,N,N,N,N,N,N,N
0214-2376,,None,N,Y,N,N,N,N,N,N,N
0214-2377,,None,N,Y,N,N,N,N,N,N,N
0214-2378,,None,N,Y,N,N,N,N,N,N,N
0214-2379,,None,N,Y,N,N,N,N,N,N,N
0214-2380,,None,N,Y,N,N,N,N,N,N,N
0214-2381,,None,N,Y,N,N,N,N,N,N,N
0214-2382,,None,N,Y,N,N,N,N,N,N,N
0214-2383,,None,N,Y,N,N,N,N,N,N,N
0214-2384,,None,N,Y,N,N,N,N,N,N,N
0214-2385,,None,N,Y,N,N,N,N,N,N,N
0214-2386,,None,N,Y,N,N,N,N,N,N,N
0214-2387,,None,N,Y,N,N,N,N,N,N,N
0214-2388,,None,N,Y,N,N,N,N,N,N,N
0214-2389,,None,N,Y,N,N,N,N,N,N,N
0214-2390,,None,N,Y,N,N,N,N,N,N,N
0214-2391,,None,N,Y,N,N,N,N,N,N,N
0214-2392,,None,N,Y,N,N,N,N,N,N,N
0214-2393,,None,N,Y,N,N,N,N,N,N,N
0214-2394,,None,N,Y,N,N,N,N,N,N,N
0214-2395,,None,N,Y,N,N,N,N,N,N,N
0214-2396,,None,N,Y,N,N,N,N,N,N,N
0214-2398,,None,N,Y,N,N,N,N,N,N,N
0214-2399,,None,N,Y,N,N,N,N,N,N,N
0214-2400,,None,N,Y,N,N,N,N,N,N,N
0214-2401,,None,N,Y,N,N,N,N,N,N,N
0214-2402,,None,N,Y,N,N,N,N,N,N,N
0214-2403,,None,N,Y,N,N,N,N,N,N,N
0214-2404,,None,N,Y,N,N,N,N,N,N,N
0214-2405,,None,N,Y,N,N,N,N,N,N,N
0214-2406,,None,N,Y,N,N,N,N,N,N,N
0214-2407,,None,N,Y,N,N,N,N,N,N,N
0214-2408,,None,N,Y,N,N,N,N,N,N,N
0214-2409,,None,N,Y,N,N,N,N,N,N,N
0214-2410,,None,N,Y,N,N,N,N,N,N,N
0214-2411,,None,N,Y,N,N,N,N,N,N,N
0214-2412,,None,N,Y,N,N,N,N,N,N,N
0214-2413,,None,N,Y,N,N,N,N,N,N,N
0214-2414,,None,N,Y,N,N,N,N,N,N,N
0214-2415,,None,N,Y,N,N,N,N,N,N,N
0214-2416,,None,N,Y,N,N,N,N,N,N,N
0214-2417,,None,N,Y,N,N,N,N,N,N,N
0214-2418,,None,N,Y,N,N,N,N,N,N,N
0214-2419,,None,N,Y,N,N,N,N,N,N,N
0214-2420,,None,N,Y,N,N,N,N,N,N,N
0214-2421,,None,N,Y,N,N,N,N,N,N,N
0214-2422,,None,N,Y,N,N,N,N,N,N,N
0214-2423,,None,N,Y,N,N,N,N,N,N,N
0214-2424,,None,N,Y,N,N,N,N,N,N,N
0214-2425,,None,N,Y,N,N,N,N,N,N,N
0214-2426,,None,N,Y,N,N,N,N,N,N,N
0214-2427,,None,N,Y,N,N,N,N,N,N,N
0214-2428,,None,N,Y,N,N,N,N,N,N,N
0214-2429,,None,N,Y,N,N,N,N,N,N,N
0214-2430,,None,N,Y,N,N,N,N,N,N,N
0214-2431,,None,N,Y,N,N,N,N,N,N,N
0214-2432,,None,N,Y,N,N,N,N,N,N,N
0214-2433,,None,N,Y,N,N,N,N,N,N,N
0214-2434,,None,N,Y,N,N,N,N,N,N,N
0214-2435,,None,N,Y,N,N,N,N,N,N,N
0214-2436,,None,N,Y,N,N,N,N,N,N,N
0214-2437,,None,N,Y,N,N,N,N,N,N,N
0214-2438,,None,N,Y,N,N,N,N,N,N,N
0214-2439,,None,N,Y,N,N,N,N,N,N,N
0214-2440,,None,N,Y,N,N,N,N,N,N,N
0214-2441,,None,N,Y,N,N,N,N,N,N,N
0214-2442,,None,N,Y,N,N,N,N,N,N,N
0214-2443,,None,N,Y,N,N,N,N,N,N,N
0214-2445,,None,N,Y,N,N,N,N,N,N,N
0214-2446,,None,N,Y,N,N,N,N,N,N,N
0214-2447,,None,N,Y,N,N,N,N,N,N,N
0214-2448,,None,N,Y,N,N,N,N,N,N,N
0214-2449,,None,N,Y,N,N,N,N,N,N,N
0214-2450,,None,N,Y,N,N,N,N,N,N,N
0214-2452,,None,N,Y,N,N,N,N,N,N,N
0214-2453,,None,N,Y,N,N,N,N,N,N,N
0214-2454,,None,N,Y,N,N,N,N,N,N,N
0214-2455,,None,N,Y,N,N,N,N,N,N,N
0214-2456,,None,N,Y,N,N,N,N,N,N,N
0214-2457,,None,N,Y,N,N,N,N,N,N,N
0214-2458,,None,N,Y,N,N,N,N,N,N,N
0214-2459,,None,N,Y,N,N,N,N,N,N,N
0214-2460,,None,N,Y,N,N,N,N,N,N,N
0214-2461,,None,N,Y,N,N,N,N,N,N,N
0214-2462,,None,N,Y,N,N,N,N,N,N,N
0214-2463,,None,N,Y,N,N,N,N,N,N,N
0214-2464,,None,N,Y,N,N,N,N,N,N,N
0214-2465,,None,N,Y,N,N,N,N,N,N,N
0214-2466,,None,N,Y,N,N,N,N,N,N,N
0214-2467,,None,N,Y,N,N,N,N,N,N,N
0214-2468,,None,N,Y,N,N,N,N,N,N,N
0214-2469,,None,N,Y,N,N,N,N,N,N,N
0214-2470,,None,N,Y,N,N,N,N,N,N,N
0214-2471,,None,N,Y,N,N,N,N,N,N,N
0214-2472,,None,N,Y,N,N,N,N,N,N,N
0214-2473,,None,N,Y,N,N,N,N,N,N,N
0214-2474,,None,N,Y,N,N,N,N,N,N,N
0214-2475,,None,N,Y,N,N,N,N,N,N,N
0214-2476,,None,N,Y,N,N,N,N,N,N,N
0214-2478,,None,N,Y,N,N,N,N,N,N,N
0214-2479,,None,N,Y,N,N,N,N,N,N,N
0214-2480,,None,N,Y,N,N,N,N,N,N,N
0214-2481,,None,N,Y,N,N,N,N,N,N,N
0214-2482,,None,N,Y,N,N,N,N,N,N,N
0214-2483,,None,N,Y,N,N,N,N,N,N,N
0214-2484,,None,N,Y,N,N,N,N,N,N,N
0214-2485,,None,N,Y,N,N,N,N,N,N,N
0214-2486,,None,N,Y,N,N,N,N,N,N,N
0214-2487,,None,N,Y,N,N,N,N,N,N,N
0214-2488,,None,N,Y,N,N,N,N,N,N,N
0214-2489,,None,N,Y,N,N,N,N,N,N,N
0214-2490,,None,N,Y,N,N,N,N,N,N,N
0214-2491,,None,N,Y,N,N,N,N,N,N,N
0214-2492,,None,N,Y,N,N,N,N,N,N,N
0214-2493,,None,N,Y,N,N,N,N,N,N,N
0214-2494,,None,N,Y,N,N,N,N,N,N,N
0214-2495,,None,N,Y,N,N,N,N,N,N,N
0214-2496,,None,N,Y,N,N,N,N,N,N,N
0214-2497,,None,N,Y,N,N,N,N,N,N,N
0214-2498,,None,N,Y,N,N,N,N,N,N,N
0214-2499,,None,N,Y,N,N,N,N,N,N,N
0214-2500,,None,N,Y,N,N,N,N,N,N,N
0214-2505,,None,N,Y,N,N,N,N,N,N,N
0214-2506,,None,N,Y,N,N,N,N,N,N,N
0214-2507,,None,N,Y,N,N,N,N,N,N,N
0214-2508,,None,N,Y,N,N,N,N,N,N,N
0214-2509,,None,N,Y,N,N,N,N,N,N,N
0214-2510,,None,N,Y,N,N,N,N,N,N,N
0214-2511,,None,N,Y,N,N,N,N,N,N,N
0214-2512,,None,N,Y,N,N,N,N,N,N,N
0214-2513,,None,N,Y,N,N,N,N,N,N,N
0214-2514,,None,N,Y,N,N,N,N,N,N,N
0214-2517,,None,N,Y,N,N,N,N,N,N,N
0214-2518,,None,N,Y,N,N,N,N,N,N,N
0214-2519,,None,N,Y,N,N,N,N,N,N,N
0214-2520,,None,N,Y,N,N,N,N,N,N,N
0214-2521,,None,N,Y,N,N,N,N,N,N,N
0214-2523,,None,N,Y,N,N,N,N,N,N,N
0214-2524,,None,N,Y,N,N,N,N,N,N,N
0214-2526,,None,N,Y,N,N,N,N,N,N,N
0214-2527,,None,N,Y,N,N,N,N,N,N,N
0214-2529,,None,N,Y,N,N,N,N,N,N,N
0214-2530,,None,N,Y,N,N,N,N,N,N,N
0214-2531,,None,N,Y,N,N,N,N,N,N,N
0214-2532,,None,N,Y,N,N,N,N,N,N,N
0214-2534,,None,N,Y,N,N,N,N,N,N,N
0214-2535,,None,N,Y,N,N,N,N,N,N,N
0214-2536,,None,N,Y,N,N,N,N,N,N,N
0214-2537,,None,N,Y,N,N,N,N,N,N,N
0214-2539,,None,N,Y,N,N,N,N,N,N,N
0214-2540,,None,N,Y,N,N,N,N,N,N,N
0214-2541,,None,N,Y,N,N,N,N,N,N,N
0214-2542,,None,N,Y,N,N,N,N,N,N,N
0214-2543,,None,N,Y,N,N,N,N,N,N,N
0214-2545,,None,N,Y,N,N,N,N,N,N,N
0214-2546,,None,N,Y,N,N,N,N,N,N,N
0214-2547,,None,N,Y,N,N,N,N,N,N,N
0214-2548,,None,N,Y,N,N,N,N,N,N,N
0214-2549,,None,N,Y,N,N,N,N,N,N,N
0214-2550,,None,N,Y,N,N,N,N,N,N,N
0214-2551,,None,N,Y,N,N,N,N,N,N,N
0214-2552,,None,N,Y,N,N,N,N,N,N,N
0214-2553,,None,N,Y,N,N,N,N,N,N,N
0214-2554,,None,N,Y,N,N,N,N,N,N,N
0214-2555,,None,N,Y,N,N,N,N,N,N,N
0214-2556,,None,N,Y,N,N,N,N,N,N,N
0214-2558,,None,N,Y,N,N,N,N,N,N,N
0214-2559,,None,N,Y,N,N,N,N,N,N,N
0214-2560,,None,N,Y,N,N,N,N,N,N,N
0214-2561,,None,N,Y,N,N,N,N,N,N,N
0214-2562,,None,N,Y,N,N,N,N,N,N,N
0214-2563,,None,N,Y,N,N,N,N,N,N,N
0214-2564,,None,N,Y,N,N,N,N,N,N,N
0214-2565,,None,N,Y,N,N,N,N,N,N,N
0214-2566,,None,N,Y,N,N,N,N,N,N,N
0214-2567,,None,N,Y,N,N,N,N,N,N,N
0214-2568,,None,N,Y,N,N,N,N,N,N,N
0214-2569,,None,N,Y,N,N,N,N,N,N,N
0214-2570,,None,N,Y,N,N,N,N,N,N,N
0214-2571,,None,N,Y,N,N,N,N,N,N,N
0214-2572,,None,N,Y,N,N,N,N,N,N,N
0214-2573,,None,N,Y,N,N,N,N,N,N,N
0214-2574,,None,N,Y,N,N,N,N,N,N,N
0214-2575,,None,N,Y,N,N,N,N,N,N,N
0214-2576,,None,N,Y,N,N,N,N,N,N,N
0214-2577,,None,N,Y,N,N,N,N,N,N,N
0214-2578,,None,N,Y,N,N,N,N,N,N,N
0214-2579,,None,N,Y,N,N,N,N,N,N,N
0214-2581,,None,N,Y,N,N,N,N,N,N,N
0214-2585,,None,N,Y,N,N,N,N,N,N,N
0214-2586,,None,N,Y,N,N,N,N,N,N,N
0214-2588,,None,N,Y,N,N,N,N,N,N,N
0214-2589,,None,N,Y,N,N,N,N,N,N,N
0214-2590,,None,N,Y,N,N,N,N,N,N,N
0214-2591,,None,N,Y,N,N,N,N,N,N,N
0214-2592,,None,N,Y,N,N,N,N,N,N,N
0214-2593,,None,N,Y,N,N,N,N,N,N,N
0214-2594,,None,N,Y,N,N,N,N,N,N,N
0214-2595,,None,N,Y,N,N,N,N,N,N,N
0214-2596,,None,N,Y,N,N,N,N,N,N,N
0214-2597,,None,N,Y,N,N,N,N,N,N,N
0214-2598,,None,N,Y,N,N,N,N,N,N,N
0214-2600,,None,N,Y,N,N,N,N,N,N,N
0214-2601,,None,N,Y,N,N,N,N,N,N,N
0214-2602,,None,N,Y,N,N,N,N,N,N,N
0214-2604,,None,N,Y,N,N,N,N,N,N,N
0214-2605,,None,N,Y,N,N,N,N,N,N,N
0214-2606,,None,N,Y,N,N,N,N,N,N,N
0214-2607,,None,N,Y,N,N,N,N,N,N,N
0214-2608,,None,N,Y,N,N,N,N,N,N,N
0214-2609,,None,N,Y,N,N,N,N,N,N,N
0214-2610,,None,N,Y,N,N,N,N,N,N,N
0214-2709,,None,N,Y,N,N,N,N,N,N,N
0214-2710,,None,N,Y,N,N,N,N,N,N,N
0214-2711,,None,N,Y,N,N,N,N,N,N,N
0214-2712,,None,N,Y,N,N,N,N,N,N,N
0214-2713,,None,N,Y,N,N,N,N,N,N,N
0214-2714,,None,N,Y,N,N,N,N,N,N,N
0214-2716,8714.10.00.00,None,N,Y,N,N,N,N,N,N,N
0214-2717,8714.10.00.00,None,N,Y,N,N,N,N,N,N,N
0214-2718,8714.10.00.00,None,N,Y,N,N,N,N,N,N,N
0214-2719,8714.10.00.00,None,N,Y,N,N,N,N,N,N,N
0214-2720,,None,N,Y,N,N,N,N,N,N,N
0214-2721,,None,N,Y,N,N,N,N,N,N,N
0214-2723,,None,N,Y,N,N,N,N,N,N,N
0214-2724,,None,N,Y,N,N,N,N,N,N,N
0214-2817,8714.10.00.00,None,N,Y,N,N,N,N,N,N,N
0214-2818,8714.10.00.00,None,N,Y,N,N,N,N,N,N,N
0214-2819,8714.10.00.00,None,N,Y,N,N,N,N,N,N,N
0214-2820,8714.10.00.00,None,N,Y,N,N,N,N,N,N,N
0214-2821,8714.10.00.00,None,N,Y,N,N,N,N,N,N,N
0214-2822,8714.10.00.00,None,N,Y,N,N,N,N,N,N,N
0214-2823,8714.10.00.00,None,N,Y,N,N,N,N,N,N,N
0214-2824,8714.10.00.00,None,N,Y,N,N,N,N,N,N,N
0214-2825,8714.10.00.00,None,N,Y,N,N,N,N,N,N,N
0214-2857,,None,N,Y,N,N,N,N,N,N,N
0214-2894,,None,N,Y,N,N,N,N,N,N,N
0214-2895,8714.10.00.00,None,N,Y,N,N,N,N,N,N,N
0214-3100,,None,N,Y,N,N,N,N,N,N,N
0214-3101,,None,N,Y,N,N,N,N,N,N,N
0214-3102,,None,N,Y,N,N,N,N,N,N,N
0214-3103,,None,N,Y,N,N,N,N,N,N,N
0214-3104,8708.50.39.00,None,N,Y,N,N,N,N,N,N,N
0214-3105,8708.50.39.00,None,N,Y,N,N,N,N,N,N,N
0214-3106,8708.50.39.00,None,N,Y,N,N,N,N,N,N,N
0214-3107,8708.50.39.00,None,N,Y,N,N,N,N,N,N,N
0214-3108,8708.50.39.00,None,N,Y,N,N,N,N,N,N,N
0214-3109,8708.50.39.00,None,N,Y,N,N,N,N,N,N,N
0214-3110,8708.50.39.00,None,N,Y,N,N,N,N,N,N,N
0214-3111,8708.50.39.00,None,N,Y,N,N,N,N,N,N,N
0214-3112,8708.50.39.00,None,N,Y,N,N,N,N,N,N,N
0214-3113,8708.50.39.00,None,N,Y,N,N,N,N,N,N,N
0214-3114,8708.50.39.00,None,N,Y,N,N,N,N,N,N,N
0214-3115,,None,N,Y,N,N,N,N,N,N,N
0214-3116,8708.50.39.00,None,N,Y,N,N,N,N,N,N,N
0214-3117,,None,N,Y,N,N,N,N,N,N,N
0214-3118,8708.50.39.00,None,N,Y,N,N,N,N,N,N,N
0214-3119,8708.50.39.00,None,N,Y,N,N,N,N,N,N,N
0214-3120,8708.50.39.00,None,N,Y,N,N,N,N,N,N,N
0214-3121,8708.50.39.00,None,N,Y,N,N,N,N,N,N,N
0214-3122,8708.50.39.00,None,N,Y,N,N,N,N,N,N,N
0214-3123,8708.50.39.00,None,N,Y,N,N,N,N,N,N,N
0214-3125,8708.50.39.00,None,N,Y,N,N,N,N,N,N,N
0214-3126,8708.50.39.00,None,N,Y,N,N,N,N,N,N,N
0214-3127,8708.50.39.00,None,N,Y,N,N,N,N,N,N,N
0214-3128,8708.50.39.00,None,N,Y,N,N,N,N,N,N,N
0214-3129,8708.50.39.00,None,N,Y,N,N,N,N,N,N,N
0214-3154,7318.16.00.10,None,N,Y,N,N,N,N,N,N,N
0214-3155,7318.16.00.10,None,N,Y,N,N,N,N,N,N,N
0214-3157,,None,N,Y,N,N,N,N,N,N,N
0215-0001,8482.10.00.51,None,N,Y,N,N,N,N,N,N,N
0215-0002,8482.10.00.51,None,N,Y,N,N,N,N,N,N,N
0215-0008,8482.10.00.51,None,N,Y,N,N,N,N,N,N,N
0215-0010,8482.10.00.51,None,N,Y,N,N,N,N,N,N,N
0215-0015,8482.10.00.90,None,N,Y,N,N,N,N,N,N,N
0215-0016,8482.10.00.90,None,N,Y,N,N,N,N,N,N,N
0215-0017,8482.10.00.90,None,N,Y,N,N,N,N,N,N,N
0215-0018,8482.10.00.90,None,N,Y,N,N,N,N,N,N,N
0215-0021,8482.10.00.90,None,N,Y,N,N,N,N,N,N,N
0215-0022,8482.10.00.90,None,N,Y,N,N,N,N,N,N,N
0215-0024,8482.10.00.90,None,N,Y,N,N,N,N,N,N,N
0215-0026,8482.10.00.90,None,N,Y,N,N,N,N,N,N,N
0215-0029,8482.10.00.90,None,N,Y,N,N,N,N,N,N,N
0215-0030,8482.10.00.90,None,N,Y,N,N,N,N,N,N,N
0215-0031,8482.10.00.90,None,N,Y,N,N,N,N,N,N,N
0215-0032,8482.10.00.90,None,N,Y,N,N,N,N,N,N,N
0215-0035,8482.10.00.90,None,N,Y,N,N,N,N,N,N,N
0215-0036,8482.10.00.90,None,N,Y,N,N,N,N,N,N,N
0215-0037,8482.10.00.90,None,N,Y,N,N,N,N,N,N,N
0215-0039,8482.10.00.90,None,N,Y,N,N,N,N,N,N,N
0215-0041,8482.10.00.51,None,N,Y,N,N,N,N,N,N,N
0215-0042,8482.10.00.90,None,N,Y,N,N,N,N,N,N,N
0215-0043,8482.10.00.51,None,N,Y,N,N,N,N,N,N,N
0215-0044,8482.10.00.90,None,N,Y,N,N,N,N,N,N,N
0215-0045,8482.10.00.90,None,N,Y,N,N,N,N,N,N,N
