"Part Number","Tariff Code","Hazard/Dangerous Code","Dealer Net Price","Flat Fee","Large Tracks Charge","Regular Tracks Charge","Tires ATV Large Charge","Tires ATV Small Charge","Tires MC Charge","Wheels ATV Charge","Wheels MC Charge"
0100-2297,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2298,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2299,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2300,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2301,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2302,6506.10.90.00,NoAir,N,Y,N,N,N,N,N,N,N
0100-2303,6506.10.90.00,NoAir,N,Y,N,N,N,N,N,N,N
0100-2304,6506.10.90.00,NoAir,N,Y,N,N,N,N,N,N,N
0100-2305,6506.10.90.00,NoAir,N,Y,N,N,N,N,N,N,N
0100-2306,6506.10.90.00,NoAir,N,Y,N,N,N,N,N,N,N
0100-2307,6506.10.90.00,NoAir,N,Y,N,N,N,N,N,N,N
0100-2308,6506.10.90.00,NoAir,N,Y,N,N,N,N,N,N,N
0100-2309,6506.10.90.00,NoAir,N,Y,N,N,N,N,N,N,N
0100-2310,6506.10.90.00,NoAir,N,Y,N,N,N,N,N,N,N
0100-2311,6506.10.90.00,NoAir,N,Y,N,N,N,N,N,N,N
0100-2312,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2313,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2314,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2315,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2316,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2317,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2333,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2338,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2339,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2428,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2429,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2430,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2431,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2432,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2434,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2435,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2436,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2437,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2438,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2439,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2440,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2441,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2446,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2447,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2448,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2449,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2450,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2452,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2453,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2454,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2455,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2456,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2461,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2462,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2463,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
